id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_4_ans,Gaz_naturel_GJ_moyenne_4_ans,Mazout_GJ_moyenne_4_ans,Conso_totale_GJ,GES_m2,latitude,longitude,ID_source,indice_structurel,indice_thermique,indice_hydrique,indice_vegetation,indice_global,geometry,ADIDU,NOTESOC,CentSoc,QuintSoc,indice_social_norm,indice_renouvelable,indice_resilience
3068,55 Av Dupras,1930.0,7977.01,389.101140932,5805.14863,7652.253500000001,0.0,0.30120807625465124,0.41898736024251937,45.4283782,-73.6609713,25337.0,0.23715374305245765,0.9141221374045803,0.29961832061068705,0.45750544705669216,0.5705178095590823,POINT (-73.6609713 45.4283782),24660929,0.0777081370920105,98.0,5.0,0.8041179010938766,0.5676127233609358,0.3649647383080978
3069,7277 Rue Cordner,1990.0,11378.01,384.53251474599995,5372.30163,7563.646,0.0,0.28953670719827224,0.2902988469671516,45.4462304,-73.62677769999999,25174.0,0.22417109559752485,0.7167919799498746,0.3533834586466166,0.7887288817925842,0.561987094735401,POINT (-73.62677769999999 45.4462304),24660874,-0.0238940179180568,30.0,2.0,0.31567317138242895,0.5553915288249065,0.6195870581230345
3071,1080 Av Dollard,1981.0,2833.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4243428,-73.6236274,25427.0,0.2372225454067407,0.5594660194174758,0.39441747572815533,0.5972927368841183,0.3990876808003251,POINT (-73.6236274 45.4243428),24660954,0.00833430730195298,60.0,3.0,0.470608424474064,,
1396,707 Av 75E,2014.0,6048.01,89.845,3921.696,1761.3,0.0,0.12719871755239567,0.12760273008823583,45.4219893,-73.62878789999999,25427.0,0.2372225454067407,0.5594660194174758,0.39441747572815533,0.5972927368841183,0.3990876808003251,POINT (-73.62878789999999 45.4219893),24660954,0.00833430730195298,60.0,3.0,0.470608424474064,0.7643319153938062,0.6304179303389266
3073,8681 Boul Champlain,1961.0,5016.0,211.24,7085.815750000001,4127.9025,0.0,0.250989193093554,0.36174054191332594,45.4185366,-73.6224938,25442.0,0.24828426671439308,0.9142857142857144,0.5714285714285714,0.6100833996502615,0.7800000528076475,POINT (-73.6224938 45.4185366),24660958,0.0558463211898624,91.0,5.0,0.6990188630048901,0.72008602724397,0.40654873189710494
3074,1411 Rue Lapierre,1991.0,4892.0,358.70815363199995,6185.77323,7049.155000000001,0.0,0.29622859100270316,0.6298445184475281,45.4369465,-73.6080235,25571.0,0.24003213568110807,0.8433333333333333,0.49,0.7228034804749297,0.7192358895514385,POINT (-73.6080235 45.4369465),24660993,0.0389388997284783,82.0,5.0,0.6177377041061936,0.5949951192798202,0.4170777547198212
3209,7644 Rue Édouard,1926.0,2469.0,24.9275,1972.2807199999995,481.273,0.0,0.05491626012580505,0.0867233785868813,45.4307065,-73.5941922,25521.0,0.3083891586285647,0.5555555555555556,0.3819444444444444,0.4347363286803899,0.3909789026943793,POINT (-73.5941922 45.4307065),24660981,0.0328984172330677,78.0,4.0,0.5886985381603018,0.850844004825543,0.5944585782013532
3191,11121 Av Salk,1959.0,3619.0,101.113565602,426.85804,1995.7635,0.0,0.054223925725587326,0.23999345395374405,45.6015863,-73.6231054,31691.0,0.20484835480998279,0.5514705882352942,0.34558823529411764,0.7806413532901735,0.40942549822011964,POINT (-73.6231054 45.6015863),24662744,-0.0144330289043199,39.0,2.0,0.36115616552915547,0.37357614371834125,0.6215069356731996
3905,4260 Rue De Charleroi,1977.0,4674.0,129.51,982.1196,2584.19,0.0,0.0798223344719576,0.23800887369592008,45.5934854,-73.6372675,31578.0,0.1973891456316333,0.8271028037383177,0.4439252336448598,0.6907676181267193,0.6319931258928203,POINT (-73.6372675 45.5934854),24662721,0.032502504729382,78.0,4.0,0.586795218532554,0.44900179214150204,0.47371669376379344
3088,3700 Rue Fleury E,1978.0,3822.0,148.247347714,4193.599639999999,2903.4505,0.0,0.15884855034440462,0.33317683883037325,45.5832191,-73.6373119,31460.0,0.20703537617464585,0.9111111111111112,0.46111111111111114,0.8846450678065194,0.7896268563915912,POINT (-73.6373119 45.5832191),24662682,0.050765150214015,89.0,5.0,0.6745915151433264,0.6889133743531699,0.42121397311488573
