id,Adresse,categorie_finale,indice_resilience,indice_global,indice_renouvelable,indice_importance,rang_final
194,7601 Rue François-Perrault,Priorité moyenne,0.60928896398235,0.8471624205937094,1.0,0.5625288436108755,100.0
3134,5955 Rue Bannantyne,Vulnérable – priorité élevée,0.5727456162810571,0.6118984990102149,0.6134353533097765,0.5592123981660571,101.0
763,1515 Boul. Tricentenaire,Vulnérable – priorité élevée,0.5876136364844109,0.6582070405860743,0.6803992694841485,0.5579674548801397,102.0
435,2150 Rue Dickson,Vulnérable – priorité élevée,0.5555000869140143,0.5154314991251314,0.4647667471788346,0.556232023480191,103.0
44,999 Rue De Louvain E,Vulnérable – priorité élevée,0.5774754301966607,0.5030976318887327,0.3961555470459097,0.5562298216932486,104.0
560,3430 Rue Bellechasse,Vulnérable – priorité élevée,0.6055781540318272,0.7879364169899299,0.9097666281359396,0.5561874506703021,105.0
2383,2060 Rue Dickson,Vulnérable – priorité élevée,0.5755461469370853,0.5154314991251314,0.4341975159605294,0.5533283193331315,106.0
3035,8750 Av. Chaumont,Vulnérable – priorité élevée,0.5759735148595486,0.5867983933593417,0.5847151967797422,0.5506942425345565,107.0
3029,3100 Rue Saint-Antoine,Priorité moyenne,0.6104149221698401,0.8223838680305036,1.0,0.5467313190037488,108.0
5,330 Rue Saint-Paul E,Priorité moyenne,0.4883988569982557,0.5401500908772257,0.6960093349990173,0.5417170092013551,109.0
297,4985 Avenue West Hill,Priorité moyenne,0.6156780292878965,0.7559973345972532,0.8772612188401634,0.540462043993949,110.0
3237,1177 Rue Dupuis,Vulnérable – priorité élevée,0.5907788019267155,0.5631489058969131,0.5604535133549089,0.5346409389057836,111.0
763,1515 Boulevard Du Tricentenaire,Vulnérable – priorité élevée,0.6022302570985658,0.6582070405860743,0.736459889749111,0.5319597860084039,112.0
2619,7675 Rue Colbert,Priorité moyenne,0.6495974269974967,0.8354972531643725,1.0,0.5308334098012877,113.0
455,8000 Rue Normanville,Vulnérable – priorité élevée,0.6063018650451053,0.579384087768209,0.5775793348189726,0.5298532368461205,114.0
3100,13665 Boul. Pierrefonds,Priorité moyenne,0.5881271731741866,0.771818902823038,1.0,0.5294868312299296,115.0
481,3175 Rue De Rouen,Vulnérable – priorité élevée,0.5990798967668065,0.6300078673381913,0.7037784198421326,0.5266492793858536,116.0
431,1196 Voie Camillien-Houde,Vulnérable – priorité élevée,0.5688645841109131,0.2425885366675933,0.0,0.5234081136889044,117.0
455,8000 Rue De Normanville,Vulnérable – priorité élevée,0.6077264640739224,0.579384087768209,0.602205475093186,0.5214755002896632,118.0
3665,2580 Boulevard Saint-Joseph,Priorité moyenne,0.5800566028861773,0.6408815397809274,0.7830744126148939,0.5207027421650655,119.0
481,3175 Rue Rouen,Vulnérable – priorité élevée,0.6039553786523131,0.6300078673381913,0.7271980248523398,0.5165349622000012,120.0
482,11301 Boul. Acadie,Vulnérable – priorité élevée,0.586810290190146,0.5484348577982039,0.6003375407969858,0.5159265407750095,121.0
3144,8400 -8420 Lacordaire,Priorité moyenne,0.6341339290255944,0.7945302554796235,1.0,0.5152804364925474,122.0
3032,"7171, Rue Bombardier, Anjou",Vulnérable – priorité élevée,0.571272181543333,0.4464159765270805,0.429708857146405,0.515215208319154,123.0
